BNS Sections,IPC Sections,IPC Description
178(5),246,"246. Fraudulently  or  dishonestly  diminishing  weight or altering composition of coin.
248. Altering  appearance  of  coin  with  intent  that  it shall pass as coin of different description.
(reference to ‘Indian coin’ removed)"
179,237,"237.Import or export of counterfeit coin.
238. Import  or  export  of  counterfeits  of  the  Indian coin.
239.Delivery of coin, possessed with knowledge that it is counterfeit.
240. Delivery    of    Indian    coin,    possessed    with knowledge that it is counterfeit.
241. Delivery  of  coin  as  genuine,  which,  when  first possessed,    the    deliverer    did    not    know    to    be counterfeit.
250.Delivery of coin, possessed with knowledge that it is altered.
251. Delivery    of    Indian    coin,    possessed    with knowledge that it is altered.
254. Delivery  of  coin  as  genuine,  which,  when  first possessed, the deliverer did not know to be altered.
258.Sale of counterfeit Government stamp.
260.Using as genuine a Government stamp known to be counterfeit.
489B.Using   as   genuine,    forged   or   counterfeit
currency-notes or bank-notes."
180,242,"242. Possession  of  counterfeit  coin  by  person  who knew it to be counterfeit when he became possessed thereof.
243.Possession of Indian coin by person who knew it to   be    counterfeit   when   he   became   possessed thereof.
252.Possession of coin by person who knew it to be altered when he became possessed thereof.
253.Possession of Indian coin by person who knew it to be altered when he became possessed thereof.
259. Having  possession  of  counterfeit  Government stamp.
489C. Possession  of  forged  or  counterfeit  currency-
notes or bank-notes."
181,233,233. Making or  selling  instrument  for  counterfeiting
Deleted,236,"236.Abetting in India the counterfeiting out of India
of coin."
182,489E,489E. Making    or    using    documents    resembling currency-notes or bank-notes.
183,261,"261. Effacing    writing    from    substance    bearing Government  stamp,  or  removing  from  document  a stamp   used   for   it,   with   intent   to   cause   loss   to
Government."
184,262,262. Using  Government  stamp  known  to  have  been before used
185,263,"263. Erasure  of  mark denoting that  stamp  has been
used"
186,263A,263A.Prohibition of fictitious stamps.
187,244,"244. Person  employed  in  mint  causing coin  to be  of different  weight  or  composition  from  that  fixed  by
law."
188,245,245.Unlawfully taking coining instrument from mint.
189,141,141.Unlawful assembly.
189(2),143,143.Punishment.
189(3),145,"145.Joining   or   continuing   in   unlawful   assembly,
knowing it has been commanded to disperse."
189(4),144,144. Joining  unlawful  assembly  armed  with  deadly weapon.
189(5),151,"151. Knowingly  joining  or  continuing  in  assembly  of five or more persons after it has been commanded to
disperse."
189(6),150,"150.Hiring, or conniving at hiring, of persons to join unlawful assembly."
189(7),157,"157.Harbouring   persons   hired   for   an   unlawful
assembly."
189(8),158,158.Being hired to take part in an unlawful assembly or riot.
189(9),158,158.or to go armed.
190,149,149. Every  member  of  unlawful  assembly  guilty  of offence committed in prosecution of common object.
191,146,146.Rioting.
191(2),147,147.Punishment for rioting.
191(3),148,"148.Rioting, armed with deadly weapon."
192,153,153.Wantonly   giving   provocation   with   intent   to cause     riot—if     rioting     be     committed;     if     not committed.
193,154,154.Owner or occupier of land on which an unlawful assembly is held.
193(2),155,155. Liability  of  person  for  whose  benefit  riot  is committed.
193(3),156,"156.Liability of agent of owner or occupier for whose
benefit riot is committed."
194,159,159.Affray.
194(2),160,160.Punishment for committing affray.
195,152,"152. Assaulting  or  obstructing  public  servant  when
suppressing riot, etc."
196,153A,"153A. Promoting  enmity  between  different  groups on ground of religion, race, place of birth, residence,
language,    etc.,    and    doing    acts    prejudicial    to maintenance of harmony."
Deleted,153AA,"153AA. Punishment  for  knowingly  carrying  arms  in any  procession  or  organizing,  or  holding  or  taking part in any mass drill or mass training with arms."
197,153B,"153B. Imputations,  assertions prejudicial  to  national
integration."
198,166,"166. Public  servant  disobeying  law,  with  intent  to
cause injury to any person."
199,166A,166A.Public servant disobeying direction under law.
200,166B,166B.Punishment for non-treatment of victim.
201,167,"167. Public  servant  framing  an  incorrect  document
with intent to cause injury."
202,168,168.Public servant unlawfully engaging in trade.
203,169,"169. Public  servant  unlawfully  buying  or  bidding  for
property."
204,170,170.Personating a public servant.
205,171,"171. Wearing  garb  or  carrying  token  used  by  public
servant with fraudulent intent."
206,172,"172. Absconding  to  avoid  service  of  summons  or
other proceeding."
207,173,"173. Preventing    service    of    summons    or    other proceeding, or preventing publication thereof."
208,174,"174.Non-attendance in obedience to an order from
public servant."
209,174A,174A.Non-appearance in response to a proclamation under section 82 of Act 2 of 1974.
210,175,175.Omission   to   produce   document   to   public servant by person legally bound to produce it.
211,176,176.Omission to give notice or information to public servant by person legally bound to give it.
212,177,177.Furnishing false information.
213,178,"178.Refusing oath or affirmation when duly required
by public servant to make it."
214,179,"179.Refusing to answer public servant authorised to
question."
215,180,180.Refusing to sign statement.
216,181,"181.False statement on oath or affirmation to public
servant  or  person  authorised  to  administer  an  oath or affirmation."
217,182,"182. False  information,  with  intent  to  cause  public servant  to  use  his  lawful  power  to  the  injury  of another."
218,183,"183. Resistance  to  the  taking  of  property  by  the
lawful authority of a public servant."
219,184,184.Obstructing sale of property offered for sale by authority of public servant.
220,185,"185. Illegal  purchase  or  bid  for  property  offered  for
sale by authority of public servant."
221,186,186.Obstructing public servant in discharge of public functions.
222,187,"187.Omission to assist public servant when bound by
law to give assistance."
223,188,188.Disobedience   to   order   duly   promulgated   by public servant.
224,189,189.Threat of injury to public servant.
225,190,190.Threat of injury to induce person to refrain from applying for protection to public servant.
226,New,New Section
227,191,191.Giving false evidence.
228,192,192.Fabricating false evidence.
229,193,193.Punishment for false evidence.
230,194,194. Giving  or  fabricating  false  evidence  with  intent
intent,to,to procure conviction of capital offence.
231,195,"195. Giving  or  fabricating  false  evidence  with  intent to  procure  conviction  of  offence  punishable  with
imprisonment for life or imprisonment."
232,195A,195A.Threatening any person to give false evidence.
233,196,196.Using evidence known to be false.
234,197,197.Issuing or signing false certificate
235,198,198.Using as true a certificate known to be false.
236,199,"199.False statement made in declaration which is by
law receivable as evidence."
237,200,"200.Using as true such declaration knowing it to be
false."
238,201,"201. Causing  disappearance  of  evidence  of  offence,
or giving false information to screen offender."
239,202,"202.Intentional   omission   to   give   information   of
offence by person bound to inform."
240,203,"203. Giving  false  information  respecting  an  offence
committed."
241,204,"204. Destruction    of    document    to    prevent    its
production as evidence."
242,205,"205. False    personation    for    purpose    of    act    or
proceeding in suit or prosecution."
243,206,206.Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution.
244,207,"207.Fraudulent   claim  to   property   to  prevent  its
seizure as forfeited or in execution."
245,208,208.Fraudulently suffering decree for sum not due.
246,209,209.Dishonesty making false claim in Court.
247,210,210.Fraudulently obtaining decree for sum not due.
248,211,"211. False  charge  of  offence  made  with  intent  to
injure."
249,212,212.Harbouring offender.
250,213,"213. Taking  gift,  etc.,  to  screen  an  offender  from
punishment."
251,214,"214.Offering   gift   or   restoration   of   property   in
consideration of screening offender."
252,215,"215. Taking  gift  to  help  to  recover  stolen  property,
etc."
253,216,"216.Harbouring   offender   who  has   escaped  from
custody or whose apprehension has been ordered."
254,216A,216A.Penalty for harbouring robbers or dacoits.
255,217,"217. Public  servant  disobeying  direction  of  law  with intent  to  save  person  from  punishment  or  property
from forfeiture."
256,218,218.Public   servant   framing   incorrect   record   or writing with intent to save person from punishment or property from forfeiture.
257,219,"219. Public  servant  in  judicial  proceeding  corruptly
making report, etc., contrary to law."
258,220,"220.Commitment for trial or confinement by person having   authority   who   knows   that   he   is   acting
contrary to law."
259,221,"221. Intentional  omission  to  apprehend  on  the  part
of public servant bound to apprehend."
260,222,"222. Intentional  omission  to  apprehend  on  the  part of public servant bound to apprehend person under
sentence or lawfully committed."
261,223,"223.Escape from confinement or custody negligently
suffered by public servant."
